nombre,latitud,longitud,tipo
Tepic,40.4278984,-3.6878617,rest
Tula,38.7707289,0.1925837,rest
Messina,36.5084597,-4.8806499,rest
Barro,40.6577005,-4.709749,rest
La Costa,36.7709659,-2.8276459,rest
Cancook,41.6471509,-0.8804399,rest
Il Bocconcino by Royal Hideaway,28.1020231,-16.7539875,rest
El Celler de Can Roca,41.9932026,2.807927,rest
Terraza Carmona,37.2480034,-1.8675902,rest
Cantina La Estación,38.0116903,-3.3672066,rest
Blanqueries,39.4800835,-0.3775782,rest
L'Aliança d'Anglès,41.95616,2.6390996,rest
La Gruta,42.1242245,3.1324352,rest
A Taberna do Trasno,42.5178743,-8.8140217,rest
Enoteca Paco Pérez,41.3867832,2.1969283,rest
Trasiego,42.0339451,0.1201515,rest
Callizo,42.4176644,0.1381766,rest
Antoni Rubies,41.553394,0.7052084,rest
La Posada de Águeda,39.4832524,-1.0979317,rest
Maca de Castro,39.8343,3.11829,rest
Pablo,42.6004864,-5.5665652,rest
Baeza & Rufete,38.368797,-0.433443,rest
Es Terral,38.9856038,1.5347006,rest
Lienzo,39.4750292,-0.3697428,rest
Solana,43.3263141,-3.4531514,rest
Beat,38.6474226,0.060922,rest
Es Fum,39.5282611,2.5506805,rest
Hisop,41.3944279,2.1480369,rest
El Espejo - Sanlúcar,36.7756305,-6.3542926,rest
Audrey's,38.6501744,0.072623,rest
Mantúa,36.6874746,-6.1359243,rest
Molino de Urdániz,42.909132,-1.533913,rest
Llantén,41.5892014,-4.7504631,rest
El Corral del Indianu,43.3902522,-5.1842735,rest
Can Bosch,41.0670276,1.0590381,rest
El Jardín de la Sal,28.4537437,-17.8418976,rest
L'Algadir del Delta,40.646976,0.6878907,rest
Olea Comedor,40.0706882,-2.1369292,rest
Furancho La Zapatería,28.3763826,-16.6997172,rest
Maralba,38.8696375,-1.0910555,rest
Orobianco,38.6665147,0.0451019,rest
El Montañés,42.6258852,-0.3249263,rest
Raíces-Carlos Maldonado,39.9565163,-4.8321518,rest
Yugo The Bunker,40.410625,-3.694612,rest
Via Veneto,41.3924041,2.1388292,rest
Fusion19,39.805798,3.1170442,rest
Elkano,43.3030043,-2.2049087,rest
Sobretablas,37.3697289,-5.9845016,rest
Existe,40.3191736,-0.4886189,rest
El Retiro,43.4123756,-4.7621095,rest
El Serbal,43.4776869,-3.7881718,rest
La Xarxa,41.1099201,1.2411467,rest
Alevante,36.346905,-6.1641536,rest
Aimia,41.6128105,0.6172982,rest
L'Escaleta,38.7570756,-0.4451945,rest
Aleia,41.3979938,2.1580032,rest
Quirat,41.3729244,2.154929,rest
BonAmb,38.7701412,0.148496,rest
Can Boix,42.111946,2.851352,rest
Casa Chongastán,42.5200992,0.4668783,rest
Kiro Sushi,42.4747461,-2.4505514,rest
Akelaŕe,43.3076976,-2.0436352,rest
